iter	Logloss
0	0.6853992795
1	0.6752951309
2	0.6668601044
3	0.6581350821
4	0.6492386647
5	0.6417210402
6	0.6341336902
7	0.6264363683
8	0.6196818065
9	0.6129563761
10	0.6071483582
11	0.6005409623
12	0.5943589267
13	0.5890611572
14	0.5838162611
15	0.5781772211
16	0.5722993106
17	0.5671203386
18	0.5621932001
19	0.5574799214
20	0.552624793
21	0.5489031634
22	0.5443665762
23	0.5397831312
24	0.5360112634
25	0.5321646855
26	0.5287117935
27	0.5249176594
28	0.5207974654
29	0.5176530834
30	0.5142747206
31	0.5111353644
32	0.5085533233
33	0.5056065945
34	0.5027300916
35	0.5000462422
36	0.4974777627
37	0.4954602044
38	0.4931079891
39	0.491126771
40	0.4893563807
41	0.4871461485
42	0.4847233779
43	0.4831985446
44	0.4813996226
45	0.4793573459
46	0.477420717
47	0.4759699862
48	0.4741160845
49	0.4728901146
50	0.4715152666
51	0.4700092396
52	0.4685410444
53	0.4671455643
54	0.465417757
55	0.4636769061
56	0.4624071376
57	0.4608258201
58	0.4595525019
59	0.4585222554
60	0.4574401355
61	0.4561940593
62	0.4547014837
63	0.4535434711
64	0.4526429943
65	0.4514380051
66	0.4504652309
67	0.4494316429
68	0.448405407
69	0.4472487565
70	0.4462744522
71	0.4452795652
72	0.4440813305
73	0.4431615513
74	0.4422831452
75	0.4412805265
76	0.4403842185
77	0.4394138884
78	0.4385285409
79	0.4375890803
80	0.4367005559
81	0.4357008422
82	0.4351671555
83	0.4343349356
84	0.4335612589
85	0.4325572505
86	0.4316093642
87	0.4307464861
88	0.4300701072
89	0.4293411726
90	0.4286657415
91	0.4280572232
92	0.4271532205
93	0.4264385908
94	0.4259899808
95	0.4251674146
96	0.4245516447
97	0.4239510005
98	0.4235071551
99	0.4229799935
100	0.4223998015
101	0.4218690568
102	0.4215185567
103	0.4207058218
104	0.4199929898
105	0.4194135857
106	0.4189269749
107	0.4181736273
108	0.4175134073
109	0.416773129
110	0.4161095653
111	0.4156140328
112	0.415183606
113	0.4146955906
114	0.4141149812
115	0.4138248037
116	0.4132049981
117	0.4127446602
118	0.4122233453
119	0.411896062
120	0.4114327595
121	0.4109509081
122	0.4104961686
123	0.4101221746
124	0.4096984325
125	0.4092917406
126	0.4091366805
127	0.4087573673
128	0.4082241869
129	0.4078359669
130	0.4073609717
131	0.4069213045
132	0.4064942227
133	0.4059374912
134	0.4053806813
135	0.4051294804
136	0.4048294294
137	0.4045268394
138	0.4040960806
139	0.40366761
140	0.4032038443
141	0.4027686328
142	0.4024526589
143	0.4020101292
144	0.4016552592
145	0.4013567419
146	0.401030603
147	0.4005742342
148	0.4001583819
149	0.3996831523
150	0.3992982623
151	0.399017968
152	0.3987269498
153	0.3983562253
154	0.3980863231
155	0.3977719543
156	0.3975677668
157	0.3972069244
158	0.3968866786
159	0.3966081878
160	0.3962721205
161	0.3958075505
162	0.3955225837
163	0.3952453072
164	0.3950246845
165	0.3947751961
166	0.39450259
167	0.3942876857
168	0.3940132793
169	0.3937422751
170	0.3934041092
171	0.3930322413
172	0.3927424502
173	0.3924477137
174	0.3921391155
175	0.3918580577
176	0.3916776205
177	0.3914685625
178	0.3911863528
179	0.3909491322
180	0.3906486414
181	0.390247648
182	0.3899749861
183	0.3897129786
184	0.3891802695
185	0.3889042508
186	0.3885495823
187	0.3881800367
188	0.3878750816
189	0.3875929893
190	0.3873934156
191	0.3872002673
192	0.3869226461
193	0.386558679
194	0.3861839796
195	0.3858745052
196	0.3856148562
197	0.3852501901
198	0.3849749677
199	0.3847231538
